[2026-03-22 00:40:36,232][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:40:36,233][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:40:43,230][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:40:43,342][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:41:09,617][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: -------------------------------------------------
[2026-03-22 00:41:10,006][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: -------------------------------------------------
[2026-03-22 00:41:10,389][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: -------------------------------------------------
[2026-03-22 00:41:10,771][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: -------------------------------------------------
[2026-03-22 00:41:11,153][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: -------------------------------------------------
[2026-03-22 00:41:11,534][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: -------------------------------------------------
[2026-03-22 00:41:11,915][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: -------------------------------------------------
[2026-03-22 00:41:12,297][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: -------------------------------------------------
[2026-03-22 00:41:12,681][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: -------------------------------------------------
[2026-03-22 00:41:13,066][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: -------------------------------------------------
[2026-03-22 00:41:13,448][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: -------------------------------------------------
[2026-03-22 00:41:13,829][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: -------------------------------------------------
[2026-03-22 00:41:14,212][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: -------------------------------------------------
[2026-03-22 00:41:14,593][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: -------------------------------------------------
[2026-03-22 00:41:14,976][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: -------------------------------------------------
[2026-03-22 00:41:15,363][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: -------------------------------------------------
[2026-03-22 00:41:15,749][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: -------------------------------------------------
[2026-03-22 00:41:16,139][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: -------------------------------------------------
[2026-03-22 00:41:16,528][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: -------------------------------------------------
[2026-03-22 00:41:16,919][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: -------------------------------------------------
[2026-03-22 00:41:17,302][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: -------------------------------------------------
[2026-03-22 00:41:17,685][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: -------------------------------------------------
[2026-03-22 00:41:18,067][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: -------------------------------------------------
[2026-03-22 00:41:18,454][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: -------------------------------------------------
[2026-03-22 00:41:18,838][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: -------------------------------------------------
[2026-03-22 00:41:19,218][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: -------------------------------------------------
[2026-03-22 00:41:19,599][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: -------------------------------------------------
[2026-03-22 00:41:19,980][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: -------------------------------------------------
[2026-03-22 00:41:20,362][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: -------------------------------------------------
[2026-03-22 00:41:20,744][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: -------------------------------------------------
[2026-03-22 00:41:21,126][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: -------------------------------------------------
[2026-03-22 00:41:21,506][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: -------------------------------------------------
[2026-03-22 00:41:21,888][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: -------------------------------------------------
